year,date,description,link,job_title,employer,state,salary_low_end,salary_high_end,salary_mean,pay_basis,classification_experimental
2024,10-10,"Deputy County Clerk, Boone County, Missouri– Join the Boone County team and Make a Difference! This position provides general supervision in the voter registration department, manages the recruitment, training, payroll, and assignment of election judges for polling places and early voting in Boone County, and provides election information to the public. Boone County Government offers a competitive benefits package that includes comprehensive health/dental/vision insurance on day one (with options for medical/dental with NO employee premium!), a pension plan, two matching deferred compensation plans, 14 paid holidays, generous sick and vacation leave, and no-cost disability and life insurance options. Boone County is a Public Service Student Loan Forgiveness qualifying employer. Visit our website and apply at: www.showmeboone.com/HR. Columbia, MO is a thriving college town and the cultural hub of mid-Missouri, hosting popular events such as the True/False Film Festival and the Roots N Blues BBQ Festival and a diverse art, music, and restaurant scene. Columbia is the fourth most populous and fastest-growing city in Missouri with an estimated 126,254 residents in 2020. Resting upon the forested hills and rolling prairies of Mid-Missouri near the Missouri River valley, outdoor enthusiasts can enjoy the surrounding Rock Bridge Memorial State Park, Mark Twain National Forest, and Big Muddy National Fish and Wildlife Refuge, in addition to hiking over 278 miles of our local trails! Many popular destinations are a short drive away, including the Capitol of Jefferson City, the Lake of the Ozarks, Saint Louis, and Kansas City all within a two-hour drive or less. Salary:  $18.04 – $27.06 per hour. Application: For the complete job listing and to apply, click here. ",https://www.showmeboone.com/hr/webpublish/jobs/29-1132.html,Deputy County Clerk,Boone County,Missouri,37523.2,56284.8,46903.99999999999,hourly,election_official
2024,10-10,"Elections Operation Manager, Boone County, Missouri –Responsibilities include loading software, testing voting equipment with ballot counting protocols, supervising temporary workforce, and managing inventory control and equipment tracking procedures. Join the Boone County team and Make a Difference! Boone County Government offers a competitive benefits package that includes comprehensive health/dental/vision insurance on day one (with options for medical/dental with NO employee premium!), a pension plan, two matching deferred compensation plans, 14 paid holidays, generous sick and vacation leave, and no-cost disability and life insurance options. Boone County is a Public Service Student Loan Forgiveness qualifying employer. Visit our website and apply at: www.showmeboone.com/HR. Columbia, MO is a thriving college town and the cultural hub of mid-Missouri, hosting popular events such as the True/False Film Festival and the Roots N Blues BBQ Festival and a diverse art, music, and restaurant scene. Columbia is the fourth most populous and fastest-growing city in Missouri with an estimated 126,254 residents in 2020. Resting upon the forested hills and rolling prairies of Mid-Missouri near the Missouri River valley, outdoor enthusiasts can enjoy the surrounding Rock Bridge Memorial State Park, Mark Twain National Forest, and Big Muddy National Fish and Wildlife Refuge, in addition to hiking over 278 miles of our local trails! Salary: $20.92 – $31.38 per hour Application: For the complete job listing and to apply, click here. ",https://www.showmeboone.com/hr/webpublish/jobs/258-1132.html,Elections Operation Manager,Boone County Government,Missouri,43513.600000000006,65270.4,54392.0,hourly,election_official
2024,09-19,"Departmental Technician, Michigan Dept. of State– This position coordinates and compiles all data requests within the Bureau of Elections applications. The incumbent will produce reports that the Election Operations Division director can use data to provide recommendations for process improvement or acquisition of new technology. The position generally provides data reports for Bureau of Election projects. Salary: $44,678.40 – $61,360.00 Annually. Deadline: September 21. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/michigan/jobs/4654662/departmental-technician-7-e9-metrics-tech?pagetype=jobOpportunitiesJobs,Departmental Technician,Michigan Dept. of State,Michigan,44678.4,61360.0,53019.2,yearly,election_official
2024,09-19,"General Office Assistant, Michigan Dept. of State— This general office assistant position functions as administrative support for the Election Operations Division offering a full range of clerical duties and assignments. Incumbent will support administrative duties related to special projects, reimbursement, grant management programs, equipment orders, postage/mail and other operational activities. The position also aids in answering questions about the general Election Operations procedures. Incumbent supports payroll processing. Salary: $39,145.60 – $55,411.20 Annually. Deadline: September 21.  Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/michigan/jobs/4654608/general-office-assistant-5-e7-operations-assistant?keywords=General%20Office%20Assistant&pagetype=jobOpportunitiesJobs,General Office Assistant,Michigan Dept. of State,Michigan,39145.6,55411.2,47278.4,yearly,election_official
2024,09-12,"Bureau of Elections Help Desk Agent, Michigan Dept. of State– This departmental technician primarily serves as a help desk customer service representative, providing procedural information about campaign finance, disclosure, notarial acts and election law to candidates, committees, election administrators, notary providers and to the general public. This incumbent will be responsible for tier 1 support and triage for inbound calls and communication to the Bureau of Elections to either resolve or route to the appropriate advanced level support. The incumbent provides additional support for bureau wide project activities and initiatives. Incumbent coordinates the staff that provides coverage for the Bureau of Elections front desk that support in person appointments or customer questions. Salary: $44,678.40 – $61,360.00 Annually. Deadline: Sept. 15. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/michigan/jobs/4645023/bureau-of-elections-help-desk-agent?keywords=help%20desk%20technician&pagetype=jobOpportunitiesJobs,Bureau of Elections Help Desk Agent,Michigan Dept. of State,Michigan,44678.4,61360.0,53019.2,yearly,election_official
2024,09-12,"Deputy Elections Administrator, Yellowstone County, Montana – Specialized and responsible administrative work in the Yellowstone County Election office which provides and maintains election reporting management system, ensures polling places meet ADA requirements, maintains voting and tabulating machines, recruits, trains and certifies Election Judges, and assists in organizing and conducting elections in Yellowstone County to comply with State election laws and statutes, to include absentee, mail-in, and advance voting programs, assists with management and direction of voter registration activities, assists with obtaining private, Federal and State grants for ADA compliance needs, assists the Elections Administrator in ballot preparation; does related duties as required. Examples of Duties: Assist with traditional and social media updates, interviews and provide access to certain areas of the Election Management process; Test and maintain voting machines to insure reliable results on Election Day; Recruit, train & certify Election Judges; Coordinate and conduct in person and online training sessions for Chief and Provisional Judges; and Coordinate and conduct in person and online training sessions for Polling Place Managers. Salary: $49,645.44 – $58,406.40 Annually. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/yellowstonecountymt/jobs/4614253/deputy-election-administrator,Deputy Elections Administrator,Yellowstone County,Montana,49645.44,58406.4,54025.92,yearly,election_official
2024,09-12,"Election & Project Specialist, Michigan Dept. of State– This position serves as the Project Specialist supporting the Bureau of Election’s (BOE) Elections Operations Division providing accountability and project management functions for bureau wide projects. Incumbent will lead documentation, planning, development, and implementation of projects resulting from the passage of PA 268 OF 2023 – HB4983 expanding Automatic Voter Registration functionality and legislation. Incumbent tracks, monitors and analyzing processes to improve support, integration and security protocols for all applications that integrate with the Qualified Voter File like, but not limited to, the Customer Automotive Records System (CARS). Incumbent will also support implementation of functionality resulting from the passage of PA 257 of 2023 -SB 594. Salary: $61,526.40 – $91,832.00 Annually. Deadline: September 15. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/michigan/jobs/4645238/departmental-specialist-election-project-contract-specialist?keywords=Elections%20Specialist&pagetype=jobOpportunitiesJobs,Election & Project Specialist,Michigan Dept. of State,Michigan,61526.4,91832.0,76679.2,yearly,election_official
2024,08-29,"Registrar of Voters, Juris Doctorate, Washoe County, Nevada — Under general direction of the County Manager, monitors changes in voting and elections at the state and federal level; plans, organizes, directs and manages the operations of the Registrar of Voters Department; and performs related work as required. The Registrar of Voters Juris Doctorate position  plans, organizes, directs and manages the operations of the Registrar of Voters Department; stays  informed of federal, state and local laws including changes related to elections and the voting process, changes at the Nevada Legislature; drafting and review of bill draft requests related to election process and voting and best practices; testifies  at the legislature on behalf of the county and on a national level; works with the Secretary of State’s Office and the Washoe County District Attorney’s Office to determine impact of changes to Washoe County and works with staff on the implementation process of the changes to ensure county compliance.  The Registrar of Voters Juris Doctorate serves as the face of the office and is frequently asked for media interviews and will provide updates and presentations to the Board of County Commissioners.  Manages requests for confidential election related records and equipment in the County’s custody and navigating complex public records requests from local and national media. Assist with identification, preparation, and response to potential AI threats. The Registrar of Voters works across many County Departments to secure election workers, coordinate technology, and secure adequate facilities. This is an Open Competitive/Countywide Promotional recruitment being conducted to fill a current full-time vacancy with the Registrar of Voters department. The list established from this recruitment may be used to fill future vacancies as they occur. Salary: $169,852.80 – $237,785.60 Annually. Deadline: October 2. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/washoecounty/jobs/4629997/registrar-of-voters-juris-doctorate?keywords=Registrar%20of%20Voters%20Juris&pagetype=jobOpportunitiesJobs,"Registrar of Voters, Juris Doctorate",Washoe County,Nevada,169852.8,237785.6,203819.2,yearly,top_election_official
2024,08-29,"Registrar of Voters, Washoe County, Nevada– Under general direction of the County Manager, plans, organizes, directs and manages the operations of the Registrar of Voters Department; and performs related work as required. The Registrar of Voters plans, organizes, directs and manages the operations of the Registrar of Voters Department; plans, organizes and coordinates elections which includes hiring and training election staff, arranging for voting and training facilities, developing the election database, ensuring accuracy of data, printing ballots, purchasing, maintaining and repairing voting system hardware, ordering, preparing and distributing supplies, and performing all work required by election law. The Registrar of Voters serves as the face of the office and is frequently asked for media interviews and will provide updates and presentations to the Board of County Commissioners. Manages the day-to-day operations of the department; monitors all administrative functions to ensure policies and procedures are being adhered to, and that accurate records and files are maintained. Supervises and directs the maintenance of voter registration records in compliance with federal and state law. The Registrar of Voters works across many County Departments to secure election workers, coordinate technology, and secure adequate facilities. Supervise assigned staff, including interviewing and selecting staff; providing staff training in proper work methods and techniques; assigning and reviewing work; conducting performance evaluations. Develop and administer the department budget to include projecting future budget needs to maintain service requirements and meet changing statutory mandates; develop and implement Department policies and procedures and ensure compliance with Department and County policies and procedures. This is an Open Competitive/Countywide Promotional recruitment being conducted to fill a current full-time vacancy with the Registrar of Voters department. The list established from this recruitment may be used to fill future vacancies as they occur. Salary: $144,393.60 – $202,176.00 Annually.  Deadline: October 2. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/washoecounty/jobs/4629991/registrar-of-voters?keywords=registrar%20of%20voters&pagetype=jobOpportunitiesJobs,Registrar of Voters,Washoe County,Nevada,144393.6,202176.0,173284.8,yearly,top_election_official
2024,08-22,"Associate Director, Elections Project, Bipartisan Policy Center– The Associate Director will be responsible for leading the Elections Project’s state and federal legislative engagement efforts. This will include work with election official state associations’ legislative committees, education and outreach to state and federal lawmakers, and coordination with our c4 BPC Action and other federal partners. The Associate Director must be well-versed in election administration and have strong policy, research, writing, and oral communication skills. The position will report to the Director of the Elections Project Rachel Orey and work closely with others on BPC’s elections team. Specifically, the Associate Director will have the following responsibilities: Lead exploratory research effort into state associations of election officials’ legislative committees. Once complete, maintain relationships with associations’ legislative committees, providing policy guidance and legislative support where applicable.Execute the Elections Project’s state and federal advocacy efforts in coordination with BPC Action, BPC’s c4 partner. Manage at least one junior team member, as well as consultants and interns as needed. Assist in establish work plans and the setting of strategic goals related to legislative activities. Assist in the public communication of the project through podcasts, events, media roundtables, and more. Develop (and/or oversee development of) internal and external meeting agendas. Facilitate internal and external meetings, representing BPC Elections and its policy priorities to a broad and diverse audience. Develop and maintain a network of key stakeholders (such as election administrators, peer organizations, funders, state and local government representatives, and more). Coordinate with current funders and support fundraising efforts as needed. Work with communications, development and legislative teams to ensure smooth and productive interaction with each functional area. Significant travel (~20%) required. Travel will not be spread evenly throughout the year and will likely cluster during state legislative sessions and summer conference seasons. Salary: $110k-$130k. Application: For the complete job listing and to apply, click here. ",https://careers.bipartisanpolicy.org/jobs/Kq4Ul6cw5zH8/associate-director-elections-project,"Associate Director, Elections Project",Bipartisan Policy Center,District of Columbia,110000.0,130000.0,120000.0,yearly,election_official
2024,08-22,"Election Assistant, Olmsted County, Minnesota– Under supervision, assists with Olmsted County’s election process. Provides customer service to voters in person, via mail, and through long-term care facility visits. Answers phone calls, directs the public to polling places, monitors supplies, and answers questions. Examples of Work: Assists voters with the absentee voting process; Performs clerical duties including customer service, filing, answering phone calls and data entry to support the election process; Assists on Election Day by answering questions, monitoring supplies, ballot counting, and directing traffic; Processes absentee records on a statewide system; Prepares equipment and supplies for Election Day; Assists with election judge training; and Performs other related job duties as assigned. Salary: $20.13 – $26.88 Hourly. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/olmsted/jobs/4616206/election-assistant,Election Assistant,Olmsted County,Minnesota,41870.4,55910.4,48890.4,hourly,election_official
2024,08-22,"Fellow, Governance, R Street Institute–The R Street Institute—a free-market think tank headquartered in Washington, D.C., and with regional offices across the country—seeks a dynamic fellow to bolster our work on election policy. If you are the right fit, you will report to the director of the Governance program. If you want to join a mission-driven organization and work toward pragmatic policy solutions, this may be the opportunity you need! Your typical day at R Street may include conducting research on how rethinking the structure of elections can create better alignment between politicians and their constituents or drafting an op-ed on the need to ensure safe and secure voting sites. It may also include meeting with legislators, election officials, and other stakeholders to improve public trust in elections or presenting your insights on strengthening ballot security on a radio show or at a national conference. This role will serve within the Governance program, which seeks to define how a limited, effective government can minimize burdens, promote human flourishing, and encourage opportunity for all. With this lens, R Street’s electoral reform work has looked for ways to eliminate needless red tape in elections, ensure all voters can participate in taxpayer-funded elections, realign electoral incentives to promote a healthier political culture, and promote policies that create elections worthy of public trust. All the while, we recognize that keeping states in control of their own elections—an idea at the very heart of our federalist system—will create more public buy-in and allow for greater flexibility and innovation. Our study of electoral reform may touch on a wide variety of issues and will be informed by the framework we have supported in the past. Application: For the complete job listing and to apply, click here. ",https://street.applytojob.com/apply/ViYizN8azN/Fellow-Governance,"Fellow, Governance",R Street Institute,"Washington, D.C.",,,,not specified,election_official
2024,08-15,"Department Analyst Trainee, Filing & Canvassing Section, Michigan Dept. of State –This position will work to improve integrity and transparency in state government by enforcing the disclosure of finances of candidates and elected officials in state government. This person will review financial reports that may expose potential conflicts of interests of those serving in positions of authority. This position serves as the Financial Disclosure Filings Analyst within the Bureau of Elections, Michigan Department of State. The Section is responsible for administering and enforcing the Personal Financial Disclosure Act, Lobbyist Registration Act, and Michigan Election Law. The Analyst will support the Section’s functions through research and analysis of disclosure reports, personal finance statements, and lobby expenditure reports, with emphasis on working to address deficiencies and correct noncompliant filings and take enforcement actions when required. This position will also develop and update training materials and user manuals; and providing training to the regulated community. Salary: $47,923.20 – $77,916.80 Annually. Deadline: August 25. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/michigan/jobs/4404908/departmental-analyst-trainee-p11-filing-canvassing-section?keywords=Filing&pagetype=jobOpportunitiesJobs,"Department Analyst Trainee, Filing & Canvassing Section",Michigan Dept. of State,Michigan,47923.2,77916.8,62920.0,yearly,election_official
2024,08-15,"Departmental Analyst, Security and Standards Section, Michigan Dept. of State– This position serves as an analyst in the Security and Standards section and will serve as recognized resource for creating or changing election administration materials for clerks and vendors based on changes to the Michigan Election Law. This position will gather data from election officials to determine program needs and coordinate with Election Administration staff on development of section programs; assist with the oversight of Michigan’s over 1,600 county and local election officials in the performance of their duties to ensure proper practices and procedures; and provide support for section programs, such as assisting with audits and recounts. This position will require some travel. Salary: $49,712.00 – $84,115.20 Annually. Deadline: August 22. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/michigan/jobs/4442440/departmental-analyst-12-security-standards-section?keywords=Election%20Security&pagetype=jobOpportunitiesJobs,"Departmental Analyst, Security and Standards Section",Michigan Dept. of State,Michigan,49712.0,84115.2,66913.6,yearly,election_official
2024,08-15,"Executive Director, Common Cause Georgia– We are looking for a collaborative and visionary leader to lead our Georgia team at Common Cause, promoting the national agenda at the state level; fostering a strong, sustainable organization; leading winning public policy campaigns through policy analysis, research, lobbying, litigation, grassroots organizing, sophisticated communications and building strong and diverse coalitions. The Executive Director will have the opportunity to envision a strategic approach for what our work looks like in Georgia and develop programs to achieve that vision. This is a unique opportunity to be a leading voice at the center of advancing democracy reforms in the state, while also expanding our membership base and managing a high-performing team. This role reports to the Director of State Operations and will be located in Atlanta, GA. We hope our new Executive Director, Georgia can join us in October! Salary: $110,000 – $130,000 a year Application: For the complete job listing and to apply, click here. ",https://jobs.lever.co/commoncause/375e726a-ae71-4b76-8729-83ce641e2aaf,"Executive Director, Common Cause Georgia",Common Cause,Georgia,110000.0,130000.0,120000.0,yearly,not_election_official
2024,08-08,"Administrative Assistant, Illinois State Board of Elections– Under the general supervision of the Deputy Director of Human Resources, the Administrative Assistant serves as the primary receptionist for the Springfield Office, greeting and providing information to the public concerning services and operations of the agency; provides direct administrative support to the Administrative Services division. Serves as the primary timekeeper for the agency. Serves as backup to the Facility Services Manager as it relates to processing and distributing incoming mail. Assists with processing invoices into SAP, as needed. Essential Function 1: Serves as a receptionist in the Springfield office of the State Board of Elections providing information to the public concerning services and operations of the Agency; greets and assists callers including government officials, members of the press and the general public. Essential Function 2: Serves as Agency timekeeper; responsible for all aspects of agency timekeeping in both the Springfield and Chicago offices.  Duties include, but are not limited to, collecting and entering employee monthly timesheets into Central Time and Attendance System (CTAS); updating timekeeping records, distributing employee monthly time reports; and addressing questions or concerns about time records with employees, Deputy Director of Human Resources, and/or supervisor. Essential Function 3: Assists with processing all incoming mail and deliveries by running security scans, date stamping and compiling for each division for distribution. Receives and assures accuracy of the shipping records and proper storage of office supplies; conducts inspection of goods received. Essential Function 4: Assist the Administrative Division with various projects which includes but not limited to; scanning documents, provides clerical support through means of typing from rough draft letters, memos, reports, and other documents; assists with the divisions audit cycles, on an as needed basis, assists the fiscal team in processing and ensuring timely completion of all SBE invoice and bill processing procedures through the use of specialized computer applications, databases, and programs. Essential Function 5: Responsible for the management of the agencies Webmaster inbox and distributing to the appropriate staff. Exercises judgment in answering general inquiries regarding voter registration, publications, candidate information, filing dates, using judgment in referring the public to the proper source of information. Essential Function 6: Responsible for enforcing the agencies visitor procedures; assigning the appropriate visitor badges to the public and ensuring visitors are signing in and out with the agencies log book. Performs other duties as assigned or required which are reasonably within the scope of duties enumerated above.  Salary: Starting Salary: $3,334.00 per month. Deadline: August 19. Application: For the complete job listing and to apply, click here. ",https://illinois.jobs2web.com/job/Springfield-ADMINISTRATIVE-ASSISTANT-IL-62704/1199138700/,Administrative Assistant,Illinois State Board of Elections,Illinois,40008.0,40008.0,40008.0,monthly,election_official
