,Job Title,Employer,Salary,Description,Link,Date,Year
150,Assistant Director,"Utah County, Utah","$65,540.80 – $75,379.20","Assistant Director, Utah County, Utah— Under general guidance and supervision of the Elections Director, assists with administering Elections functions within the Office of the County Clerk, including voter registration and service, electronic voting system, candidate services, and the full elections process for Utah County. Incumbents serving in this classification represent the Elections Director in his/her absence and must have considerable knowledge of the laws, regulations, ordinances, policies, and procedures related to administering elections. Salary: $65,540.80 – $75,379.20. Deadline: August 8. Application: For the complete job listing and to apply, click here.",https://utahcounty.wd1.myworkdayjobs.com/en-US/Utah_County_Careers/job/Administration/Assistant-Director---Elections_R0001070,08-03,2023
165,Voter Registration Specialist,Illinois State Board of Elections,"$3,750 – $5,834","Voter Registration Specialist, Illinois State Board of Elections— Under the general direction of the Voter Registration Lead, and the Director of Voting and Registration Systems, the Voting Registration Specialist I, performs duties related to the operation of voter registration systems and processes.. Analyzes data within the statewide registration database, review data submissions, process data request and provide voter data dissemination files. Request information from local election authorities as it relates to voter registration and systems, assist with questions from election authorities and the public as it pertains to voter registration. Performs test of registration systems functionality. Salary: $3,750 – $5,834. Deadline: Aug. 10. Application: For the complete job listing and to apply, click here.",https://illinois.jobs2web.com/job/Springfield-Voter-Registration-Specialist-I-98720-IL-62704/1057087500/,08-03,2023
167,Voting System Specialist,Illinois State Board of Elections,"$3,750 – $5,834","Voting System Specialist, Illinois State Board of Elections— Under the general direction of the Voting System & Testing Team Lead, and the Director of Voting and Registration Systems, the Voting System Specialist I, performs functions relative to the operational and procedural aspects of voting systems; performs voting tabulation system testing and certification testing to ensure voting systems are secure and promotes the integrity of statewide voting technology which is used by Illinois election authorities and the general public; assists in the development and planning of on-site and off-site testing; collaborates with agency divisions, election authorities, vendors, and the general public as it relates to voting systems; effectively organizes, coordinates, and independently schedules day-to-day projects and requirements to ensure all assignments receive appropriate attention and that established timelines are met. Salary: $3,750 – $5,834. Deadline: Aug. 10. Application: For the complete job listing and to apply, click here.",https://illinois.jobs2web.com/job/Springfield-Voting-System-Specialist-I-98723-IL-62704/1057087100/,08-03,2023
181,Absentee Coordinator,"City of Alexandria, Virginia","$50,587.94 – $89,022.44","Absentee Coordinator, City of Alexandria, Virginia— The Absentee Coordinator’s primary purpose is to plan, coordinate, and administer the absentee by-mail program/service area to support the strategic direction of the department by connecting community participants to election services. An employee in this position is responsible for the management of all aspects of processing mail/email absentee applications and ballot issuance in accordance with strict deadlines established by federal and state election laws as well as oversee the Central Absentee Precinct. This employee will lead a team to perform the administrative duties related to absentee by-mail voting. Work requires that all materials meet the guidelines of election law and department standards. Salary: $50,587.94 – $89,022.44. Deadline: Sept. 4. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/alexandria/jobs/4172362/absentee-coordinator?pagetype=jobOpportunitiesJobs,08-24,2023
183,Campaign Finance & Investigations Specialist,Oregon Secretary of State’s Office,"$4,437 – $6,800","Campaign Finance & Investigations Specialist, Oregon Secretary of State’s Office— In this role, you will help the public comply with Oregon campaign finance laws and rules. You will also help investigate possible violations of Oregon election laws and rules. This is accomplished in part by, but not limited to: Teaching filers how to submit filings on ORESTAR (Oregon Elections System for Tracking And Reporting); Explaining election laws and rules to the public and to filers; Reviewing filings for legal sufficiency; Conducting investigations into possible election law violations; Making recommendations about the outcome of investigations; Issuing civil penalties for non-compliance; and Answering the public’s questions about registering to vote and voting. Salary: $4,437 – $6,800. Deadline: Sept. 5. Application: For the complete job listing and to apply, click here.",https://oregon.wd5.myworkdayjobs.com/SOR_External_Career_Site/job/Salem--SOS--Public-Service-Building/Campaign-Finance---Investigations-Specialist--Compliance-Specialist-2-_REQ-135034-1,08-24,2023
189,Election Security Specialist,Michigan Department of State,$31.98 – $47.70 Hourly,"Election Security Specialist, Michigan Department of State— As an Administrative Assistant, this position assists the Director of Elections performing special projects related to election security including, but not limited to, advising and assisting the Director with strategic planning, reviewing and analyzing state and federal legislation relevant to Bureau of Elections (BOE), and assisting in the development of programs and procedures. The position coordinates BOE response to and management of election-security incidents with partners and stakeholders. The position works with BOE staff, Michigan Department of State (MDOS) staff, and partners to develop and implement an extensive election security-related education and training program for county and local election officials (as well as internal staff), focusing on election-related cyber security, physical security and secure and sound election administration procedures. The position assists county and local election officials in completing detailed election system security assessments and implementing security improvements as identified and needed, covering all major county/local election system components. The position serves as liaison with state and federal partners on election security coordination and initiatives. The position makes recommendations for priorities for and maintains, tracks and reports on the Department’s Federal election security grant program with MDOS Budget office. Salary: $31.98 – $47.70 Hourly. Deadline: August 28. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/michigan/jobs/4146299/departmental-specialist-14-administrative-assistant-special-projects-administ?pagetype=jobOpportunitiesJobs,08-24,2023
190,Election Specialist,Illinois State Board of Elections,"$3,750 – $5,834","Election Specialist, Illinois State Board of Elections— Under general supervision of the Election Operations Team Lead, assists with certification of ballots and handling inquires; acts as contributor to Board publications; provides general interpretations of various election laws to election authorities, election judges, and the general public; provides oral and written answers related to questions regarding various statutes; conducts judges schools for election authorities. Assists in providing general interpretation of various election laws; advises local election authorities and officials concerning necessary implementation, abolishment or revision of procedures resulting from changes in statutes and/or rules and regulations. Assists in the preparation and writing of various agency publications to be used for in-house reference and election authority distribution; conducts training sessions for various election authorities as assigned. Assists in providing written answers related to questions arising out of the Illinois Election Code to election officials and authorities, legislative staff and members of the general public; refers obscure or novel inquiries to senior personnel. At the request of the director/operations lead, assists in all activities of candidate nomination filing.  This includes, but is not limited to, the following:  petition filing, objection filing, service of notice for objections, electoral board meeting support, candidate withdrawals, and ballot certification. Performs other duties as assigned or required which are reasonably within the scope of duties enumerated above. Salary: $3,750 – $5,834. Deadline: August 30. Application: For the complete job listing and to apply, click here.",https://illinois.jobs2web.com/job/Springfield-ELECTION-SPECIALIST-I-7021400-IL-62704/1064194200/,08-24,2023
191,Help Desk Technician,Michigan Dept. of State ,"$43,804.80 – $60,153.60","Help Desk Technician 7-9, Michigan Dept. of State — This departmental technician primarily serves as a help desk customer service representative, providing procedural information about campaign finance, disclosure, notarial acts and election law to candidates, committees, election administrators, notary providers and to the general public. This incumbent will be responsible for tier 1 support and triage for inbound calls and communication to the Bureau of Elections to either resolve or route to the appropriate advanced level support. The incumbent provides additional support for bureau wide project activities and initiatives. Incumbent coordinates the staff that provides coverage for the Bureau of Elections front desk that support in person appointments or customer questions. Salary: $43,804.80 – $60,153.60. Deadline: Sept. 5. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/michigan/jobs/4154536/bureau-of-elections-help-desk-technician-7-9?pagetype=jobOpportunitiesJobs,08-24,2023
193,IT Specialist,"Wake County, North Carolina","$55,534 – $74,968","IT Specialist, Wake County, North Carolina— Do you have a impressive IT background and a desire to be a part of the elections process? If so, get ready to roll up your sleeves and become a part of something bigger! The Wake County Board of Elections is seeking an innovative and self-motivated Information Technology Specialist to manage the certification and testing of election ballots and voting equipment. This position requires an employee who is well-rounded in various IT fields to include knowledge of hardware and software, database development and data analysis. The Information Technology Specialist will develop, manage and implement IT solutions for conducting elections while ensuring the security and integrity of certified election equipment including tabulators, voter assistance terminals, laptops, and elections software. Salary: $55,534 – $74,968. Deadline: Sept. 4. Application: For the complete job listing and to apply, click here.",https://ewaketalent.csod.com/ux/ats/careersite/3/home/requisition/6432?c=ewaketalent,08-24,2023
230,Communications Manager,"King County, Washington","$114,167.25 – $144,713.92","Communications Manager, King County, Washington— This is an amazing opportunity to be engaged in the election process! King County’s Department of Elections is seeking an innovative and effective Communications Manager to lead the department’s communications team. The Department of Elections is searching for an energetic and resourceful professional who likes to get stuff done. The Communications Manager position offers an opportunity to craft a communications strategy and cultivate the talents of a diverse team to communicate proactively, regularly, and reliably with the voters of King County. The ideal candidate will thrive in an innovative, fast-paced environment, will possess strong strategic perspective and pollical savvy, and will not hesitate to roll up their sleeves, have fun, and get the job done. This position reports to the Chief of Staff for the Department of Elections. The person who fills this role will oversee all elements of the department’s communication efforts and serve as a key advisor to both the Director of Elections and Chief of Staff. The position will play a central role in key transformational efforts for the department such as implementing ranked choice voting and lead cross-departmental efforts such as developing a comprehensive campaign to combat misinformation about elections. The Communications Manager will also serve as a representative to the media and the public on behalf of the department, including live and recorded interviews, presentations, and other requests. Salary: $114,167.25 – $144,713.92. Deadline: Feb. 13. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/kingcounty/jobs/3893943/communications-manager,02-02,2023
245,Oregon Votes Technical Trainer (Operations & Policy Analyst 3,Oregon Secretary of State’s Office,,"Oregon Votes Technical Trainer (Operations & Policy Analyst 3), Oregon Secretary of State’s Office— In this position you will lead technical training and support work for the Oregon Votes system, new voter registration system for Oregon that is currently in development. This work will involve the creation and maintenance of training materials, performing training for county election administrators, and collecting input from users to inform future development. This role will require significant independent self-led work and will provide the opportunity to build and maintain a training program to ensure Oregon election administrators and voters have access to a modern and secure voter registration system. Deadline: Feb. 14. Application: For the complete job listing and to apply, click here.",https://oregon.wd5.myworkdayjobs.com/SOR_External_Career_Site/job/Salem--SOS--Public-Service-Building/Oregon-Votes-Technical-Trainer--Operations---Policy-Analyst-3-_REQ-117699-1,02-02,2023
246,Program Associate,Center for Tech and Civic Life,"$53,500","Program Associate (remote within the US), Center for Tech and Civic Life— When you think about elections, you might think about popular candidates, “I voted” stickers, and all sorts of paperwork and deadlines. But behind the scenes are thousands of election officials in state and local governments who are working hard to make sure ballots are counted and voices are heard. At a time when election officials are facing unprecedented challenges and scrutiny, they need support in order to administer secure and inclusive elections and build trust among the public. As Program Associate at CTCL, you will help to develop a program to assess, recognize, and celebrate outstanding performance by election departments nationwide. As part of your work, you’ll collaborate with internal and external partners, including election officials and subject matter experts. You’ll report to a Program Manager in the Government Services department. Deadline: Feb. 13. Salary: $53,500. Application: For the complete job listing and to apply, click here.",https://centerfortechandciviclife.recruitee.com/o/program-associate-chicago,02-02,2023
263,"Elections Specialist, Vietnamese","King County, Washington",,"Elections Specialist, Vietnamese, King County, Washington— This benefits-eligible Term-Limited Temporary (TLT) position is anticipated to last up to one and a half years. A Special Duty Assignment may be considered for King County Career Service employees who have passed their initial probationary period. The Department of Elections – is searching for energetic and resourceful professionals who like to “get stuff done”. The Administrative Specialist II positions in the Voter Services Department combines an exciting, fast-paced environment with the opportunity to cultivate talents and apply a variety of skills. The ideal candidate will have a desire to help ensure the democratic process through public service. They will thrive in an innovative environment and will not hesitate to roll up both sleeves, work hard, have fun, and get the job done. King County Elections (KCE) manages voter registrations and elections for more than 1.4 million voters in King County, the largest vote-by-mail county in the United States. KCE’s mission is to conduct accessible, secure, and accurate elections. As a leader in providing inclusive elections, KCE is focused on three key priorities – (1) actively identifying and working to remove barriers to voting at both the individual and community level, (2) strengthening relationships with community and governmental partners, and (3) creating a culture of professional growth and development, openness and inclusion. Learn more at www.kingcounty.gov/elections.aspx . Who May Apply: This position is open to the general public and all King County employees. This position is open until filled. Applications submitted by December 28th will be part of the first round of review and interviews. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/kingcounty/jobs/3828824/administrative-specialist-ii-elections-specialist-vietnamese,01-12,2023
269,Legal Counsel,Illinois State Board of Elections (Chicago),"$5,834 – $6,667","Legal Counsel, Illinois State Board of Elections (Chicago)— Under supervision of the General Counsel, serves as Legal Counsel, assisting the General Counsel in the following areas: research, review, analysis, and drafting evaluation of relevant court decisions, State and Federal laws, rules and regulations, and other legal resources. Undertakes or assists with special projects as assigned by the General Counsel. Conducts research, review, and analysis of relevant court decisions, State and Federal laws, rules and regulations, and other legal resources. Drafts legal memoranda and other legal documents. Undertakes or assists with special projects. Confers with and advises division directors and staff members regarding legal issues. Converses with public officials, candidates, attorneys and other persons regarding election related issues and offers limited guidance on legal related questions. Drafts agency communications to election authorities, vendors, and other outside parties to assist with agency functions. Consults with the Office of the Illinois Attorney General regarding pending litigation involving the State Board of Elections. Reviews Board publications for legal accuracy. Assists with drafting and updating agency policies and procedures and Illinois Administrative Code rules. Reviews proposed legislation. Assists with drafting and review of Board orders related to Campaign Disclosure matters. Serves as Ethics Officer or Deputy Ethics Officer, consulting on agency ethics matters, investigating OEIG complaints and facilitating mandated ethics and sexual harassment training at the Chicago office, attending trainings and staying knowledgeable on current ethics laws/mandates, being available for staff inquiries related to ethics issues. Assists with state electoral board proceedings, including procedural rules for administrative hearings, records examinations, and preparation of recommended decisions and board orders. Assists with facilitation of administrative hearings and communicates regularly with board appointed hearing officers on legal matters. Serves as hearing officer for Campaign Disclosure complaints. Monitors Open Meetings Act compliance. Assists with review of documents for Freedom of Information Act responses as needed. Salary: $5,834 – $6,667. Deadline: Jan. 25. Application: For the complete job listing and to apply, click here.",https://illinois.jobs2web.com/job/Chicago-LEGAL-COUNSEL-I-7993000-IL-60602/979308100/,01-12,2023
325,Elections & Special Districts Director,"Cochise County, Arizona","$85,000 – $100,000","Elections & Special Districts Director, Cochise County, Arizona— Under limited supervision of the County  Administrator with direction from the Board of Supervisors, provides professional level project planning in all functions related to the conduct of voting and election activities for the County;  perform work of considerable difficulty to plan, organize, coordinate, direct and control all activities of the Elections & Special Districts Department in compliance with statutory and regulatory federal and state requirements; prepare and manage the annual fiscal budget for the department, develop long-range plans and anticipates/identifies long-term organizational needs; responsible for fraud prevention, detection, and deterrence;  sound judgment and considerable communication and interpersonal skills are required in this position. Performs other related duties as required. Salary: $85,000 – $100,000. Deadline: Oct. 9, 2023. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/cochise/jobs/4209432/elections-special-districts-director?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,09-28,2023
326,HAVA Grant Manager,Idaho Secretary of State’s Office,$25-$27/hour,"HAVA Grant Manager, Idaho Secretary of State’s Office— The Help America Vote Act (HAVA) Grant Manager is a part-time limited-service position. The position is expected to exist through December 31, 2026. Any contract extension is dependent upon renewed appropriation of HAVA funds from Congress. The role is responsible for the management of the State of Idaho’s HAVA grant funds, inclusive of developing a county subgrant program; monitoring, evaluating and reporting grant activities; providing training and technical assistance to subgrantees; and performing related tasks for the responsible management of the grant. Responsibilities include: Develop a county subgrant program for the purpose of fairly allocating and distributing HAVA funds. This includes defining objectives, time frames, priorities, budget formats, criteria and performance standards. Develops subgrant agreements in collaboration with the Chief Deputy and Assistant Chief Deputy. Develops or recommends program policies and procedures to conform to federal regulations and eligibility criteria for the Secretary of State office. Analyzes reports to determine program progress, quality and quantity of service and compliance with laws, standards and guidelines. Monitors expenditure reports to ensure services are provided in accordance with agreement. Monitors for contract compliance by evaluating statistical data and identifying the needs for corrective action plans for recipients and preparing reporting documents. Reviews audit reports and develops responses to resolve audit findings. Identifies training needs and provides technical assistance or arranges training for subgrant recipients. Identify and accounting of allowable cash and in-kind match. Salary: $25-$27/hour. Deadline: Oct. 6. Application: For the complete job listing and to apply, click here.",https://statecareers.idaho.gov/jobs/13130074-hava-grant-manager,09-28,2023
329,Manager Election Administration,City of Minneapolis,"$84,423.04 – $98,777.12, Deadline: Oct","Manager Election Administration, City of Minneapolis— As the largest and most vibrant city in the state, Minneapolis depends on purposeful, dedicated and innovative employees. Minneapolis has a large variety of careers for people of all experiences and backgrounds who come together for a singular purpose—serving the residents, businesses and visitors of Minneapolis. This Manager of Election Administration oversees all aspects of the City of Minneapolis’ expansive Vote By Mail program.  The ideal leader will value attention to detail, teamwork, and serving our community.  This individual will have the opportunity to lead a diverse staff of experts who facilitate mail voting, healthcare facility voting, ballot board and tabulation, agent delivery, and ballot drop off. These responsibilities are required under State Statute and delegated County authority. This position directly supports the Division’s goal to ensure Minneapolis voters have free, impartial, and fair access to the ballot box. Salary: $84,423.04 – $98,777.12, Deadline: Oct. 9. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/minneapolismn/jobs/4215835/manager-election-administration,09-28,2023
334,Specialist,"Butte County, California","$43,201 – $57,886","Specialist, Butte County, California— Under general direction, plans, develops, and implements special projects and/or programs for the Clerk-Recorder or the Elections Division; provides technical support, information, and assistance to assigned division within the Clerk-Recorder’s Office; and performs related duties as assigned. This is the journey-level classification in the County Clerk-Recorder Specialist series responsible for managing assigned clerk-recorder or elections division projects and/or programmatic areas. Positions at this level perform the full range of duties as assigned, work independently, and exercise judgment and initiative. This class is distinguished from the Senior County Clerk-Recorder Specialist in that the latter manages the more complex projects/programs assigned to the series and provides technical and functional direction over lower-level staff. Salary: $43,201 – $57,886. Deadline: Oct. 2. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/buttecountyca/jobs/4203337/county-clerk-recorder-specialist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,09-28,2023
340,Deputy Counsel,Minnesota Secretary of State’s Office,"$80,137 – $118,848","Deputy Counsel, Minnesota Secretary of State’s Office— As the Deputy General Counsel, you will provide legal advice to the Office of the Minnesota Secretary of State (OSS) as well as information to our county and municipal Election partners, Business Services partners, and the general public. This position serves as the subject matter expert on: data practices compliance; legislation review and rulemaking; advising on applicable federal and state statutes, case law, and administrative rules and practices. This position will work closely with the General Counsel, Deputy Secretary of State, OSS’s division directors, and the Attorney General’s office. Responsibilities include: Provide legal analysis and advice with respect to the application of Minnesota statutes and rules to fact situations and hypothetical questions. Provide on an agency wide basis, legal advice regarding OSS compliance with the Minnesota Government Data Practices Act and other applicable privacy laws. Assist in executing all legal and regulatory aspects of rulemaking. Provide legal review of legislation and assist in fiscal note coordination as required by the legislature. Salary: $80,137 – $118,848. Deadline: July 31. Application: For the complete job listing and to apply, click here.",https://careers.mn.gov/psc/mnjob/MNCAREERS/HRCR/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U,07-20,2023
343,Election Specialist,"Mesa County, Colorado ",$19.07-$21.45/hour,"Election Specialist, Mesa County, Colorado — As an employee in the Election Division, duties focus on a variety of work related to elections office goals, including voter registration applications, additions, changes, cancellations, and party affiliation in voter registrations. Workload, focused within the election office during an election cycle, including working with other staff to complete voter registration data entry, processing voters, and assisting the voting process of the ACP program and military/overseas voters, operation and maintenance of the election equipment, maintenance of the Address Library, voter cancelations using SCORE, and bulk print mailings. Other duties may include coordinating and organization of supplies for office and polling location in preparation for an election. Assist with election judge recruitment, assisting with scheduling and judge training. Performs daily data entry of voter registration forms, as needed. Overall, working as a team, individuals will gravitate towards and excel at certain tasks but every team member should have a solid understanding of all the tasks, which ensures redundancy and collaboration. Salary: $19.07-$21.45/hour. Deadline: July 26. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/mesacountyco/jobs/4117405/elections-specialist-clerk-and-recorder?page=2&pagetype=jobOpportunitiesJobs,07-20,2023
