text_quality_assigned,junk_reason,year,job_title,employer,full_text_length,stub_description,full_text,reviewer_verdict,reviewer_notes
marginal_full_text,,2016,Research Specialist (Junior Specialist),UC Davis Center for Regional Change,1111.0,"Research Specialist (Junior Specialist), California Civic Engagement Project at the UC Davis Center for Regional Change — under general supervision of the Director of the CCEP, the research specialist will work as a researcher on CCEP projects. Position includes statistical research, data research, data management, event coordination and other duties as needed. 85% RESEARCH: Work in statistical so","Skip to main content
Menu
UC Davis Center for Regional Change
Open Search
Search
Quick Links
+
myUCDavis
MyAdmissions
Make a Gift to UC Davis
UC Davis Stores
Alumni
Student Health
Commencement
Schedule Builder
General Catalog
Canvas
Academic Dates
Athletics
Jobs
Apply
Visit
Calendar
Campus Map
Emergency Services
Directory
Campus COVID Information
Student Parents
Main navigation (extended config)
About Us
Faculty Affiliates
Current Affiliates
Past Affiliates
Staff
CRC Student Scholars
Projects
Current Projects
Environmental Justice
AB 617
Land Use, Transportation, and Housing
Climate Readiness Through Local Planning
CARB Housing and Transportation Project Summary
Community and Economic Development
Human Flourishing
Yolo County Basic Income
Youth Health and Well-Being
Nourishing Futures
Archived Projects
Student Scholars Awards
Ted Bradshaw Student Engaged Scholar Program
Isao Fujimoto Research Award
Tools and Resources
Youth Career Pathways Toolkit for YPAR
Community Futures, Community Lore
Regional Opportunity Index
California General Plan Database Mapping Tool
Research That Matters for Regions",,
marginal_full_text,,2020,Operations Support Specialist,North Carolina State Board of Elections,2526.0,"Operations Support Specialist, North Carolina State Board of Elections— The State Board of Elections oversees the enforcement of federal and state laws, rules, and procedures governing the conduct of elections, voter registration, and campaign finance activities in North Carolina.  Provide operational support to Election Administration, Campaign Finance administration and other business operations","=== JOB DETAILS ===

SALARY: $30,280.00 - $48,058.00 Annually
LOCATION: Wake County, NC
JOB TYPE: Permanent Full-Time
JOB NUMBER: 60088212-12022020
DEPARTMENT: State Board of Elections
DIVISION: State Board of Elections
OPENING DATE: 12/02/2020
CLOSING DATE: 12/10/2020 5:00 PM Eastern
POSITION NUMBER: 60088212
SECTION: Operations
SALARY GRADE: GN06

=== JOB DESCRIPTION ===

Max Salary: Up to $34,461
**Description of work updated 12/3/2020**

Description of Agency:

The State Board of Elections oversees the enforcement of federal and state laws, rules, and procedures governing the conduct of elections, voter registration, and campaign finance activities in North Carolina. 

Primary Purpose of the Organizational Unit: 

Provide operational support to Election Administration, Campaign Finance administration and other business operations.

Primary Purpose of the Position: 

Perform a variety of general office assistant tasks in support of the agency’s administrative operations, especially public contact and providing public assistance..

Description of Duties

Answer and/or route emails in a timely and professional manner. Answer questions of a general nature, including assisting the public with locating voter registration information, polling place hours and locations, acceptable forms of voter identification, online campaign finance data, and county boards of elections contact information. Answer and /or route help desk tickets in a timely and professional manner. Answer and route incoming telephone calls in a timely manner in times of high call volume as directed. Route calls, emails, and tickets based on routing guidelines provided.
 
Assist with receiving, date-stamping, and routing incoming mail to appropriate staff as directed.
 
Assist other divisions of the agency with intake processes as directed, including candidate filing and reporting. 

General knowledge of office practices, techniques and technology sufficient to coordinate support activities for departme",,
marginal_full_text,,2022,"Associate Director, Elections & Voting",Democracy Fund,1140.0,"Associate Director, Elections & Voting, Democracy Fund— Democracy Fund champions leaders and organizations that defend democracy and challenge our political system to be more open and just. We believe that experimentation, learning, and adaptation are key to the health and resilience of any system, whether it is our organization or the American political system. As grantmakers, we focus on listeni","Democracy Fund is an independent and nonpartisan, private foundation that confronts deep-rooted challenges in American democracy while defending against new threats. Since 2014, we have made grants of more than $275 million in support of those working to strengthen our democracy through the pursuit of a vibrant and diverse public square, free and fair elections, effective and accountable government, and a just and inclusive society.
For all regular full-time positions, Democracy Fund offers:
-
A competitive base salary and performance incentive pay
-
A retirement savings plan, including an employer contribution as well as an employer match
-
Comprehensive insurance coverage, including medical, dental, and vision (also covering domestic partners), life and accidental death, and disability
-
Support for professional development and growth
-
A collaborative and inclusive work environment
Democracy Fund is an Equal Opportunity Employer. We welcome and encourage candidates of all ages, colors, ethnic backgrounds, countries of origin, religions, disability statuses, sexual orientations, genders and/or gender identities to apply.",,
marginal_full_text,,2016,"Program Associate, Governance Program",Democracy Fund,1140.0,"Program Associate, Governance Program, Democracy Fund— The Democracy Fund seeks to hire a Program Associate to support our Governance Initiative, which is focused on how we can help major governing institutions to work more effectively in the face of increasing polarization. We are looking for candidates who are passionate about making our political system work better and have a strong understandi","Democracy Fund is an independent and nonpartisan, private foundation that confronts deep-rooted challenges in American democracy while defending against new threats. Since 2014, we have made grants of more than $275 million in support of those working to strengthen our democracy through the pursuit of a vibrant and diverse public square, free and fair elections, effective and accountable government, and a just and inclusive society.
For all regular full-time positions, Democracy Fund offers:
-
A competitive base salary and performance incentive pay
-
A retirement savings plan, including an employer contribution as well as an employer match
-
Comprehensive insurance coverage, including medical, dental, and vision (also covering domestic partners), life and accidental death, and disability
-
Support for professional development and growth
-
A collaborative and inclusive work environment
Democracy Fund is an Equal Opportunity Employer. We welcome and encourage candidates of all ages, colors, ethnic backgrounds, countries of origin, religions, disability statuses, sexual orientations, genders and/or gender identities to apply.",,
marginal_full_text,,2023,Senior Specialist-Voter Services,"Johnson County, Kansas",676.0,"Senior Specialist-Voter Services, Johnson County, Kansas— The Senior Election Specialist – Voter Services will take a lead role on the voter services team within the Election Office. This position will oversee the office’s use of the statewide voter registration system and support other employees in their work within this vital system. This will require attention to detail and the ability to defin","|
We're sorry, but this site is temporarily down for updates. Please try again later. Desculpe-nos, mas o site está temporariamente fora do ar para atualização. Por favor tente novamente mais tarde. Disculpa, el sitio si encuentra en mantenimiento. Dentro de algunos minutos el sitio volverá a estar disponible. Disculpas por las molestias ocasionadas. Nous sommes désolés, mais ce site est en cours de maintenance. Nous nous excusons pour le désagrément encouru et vous prions de bien vouloir revenir nous voir un peu plus tard. Merci de votre comprehension Siamo spiacenti, ma il sito è stato temporaneamente messo fuori linea per degli aggiornamenti. Riprovate piú tardi. |",,
marginal_full_text,,2025,City Clerk,Vernon California,2220.0,"City Clerk, Vernon California– The City Clerk position plans, directs, supervises, and coordinates all activities of the City Clerk’s Office related to Council meetings, City elections, and public records in accordance with applicable laws, codes, policies, and procedures. The City Clerk oversees two full-time staff members: the Deputy City Clerk and Clerk Specialist. This position maintains the C","The City of Vernon is a full-service city of 5.2 square miles located about five miles to the southeast of downtown Los Angeles. Founded in 1905 as the first exclusively industrial city in the Southwestern United States, Vernon is home to 250 residents and has embarked on ambitious plans to increase its residential population and establish itself as an ideal place to live and work. The City currently houses more than 1,800 businesses that employ approximately 50,000 people, serving as a vital economic engine for the Southern California region. Vernon offers an environment uniquely friendly to business and has a diverse industry makeup comprising many Fortune 500 companies in industries that include food and agriculture, apparel, steel, plastics, logistics and home furnishings.
The City Clerk position plans, directs, supervises, and coordinates all activities of the City Clerk’s Office related to Council meetings, City elections, and public records in accordance with applicable laws, codes, policies, and procedures. The City Clerk oversees two full-time staff members: the Deputy City Clerk and Clerk Specialist. This position maintains the City Municipal Code, certifies City documents, and attests to proper execution of all public documents. The City is seeking a detail oriented, thorough, and responsive candidate to serve as the next City Clerk. The ideal candidate is politically astute with excellent customer service. A team player who is approachable and engaged will do well in this role. The next City Clerk must have the ability to research, review, correct, and maintain complex and extensive public records; monitor the City’s compliance with all laws, regulations, and rules; encourage civic engagement; and assess and prioritize multiple tasks, projects, and demands.
The annual salary range for the City Clerk position is $189,584 - $230,441. Placement within this range depends upon qualifications and experience. The City also offers an excellent benefits package.
",,
marginal_full_text,,2019,Director of Elections/General Registrar,Arlington County,1179.0,"Director of Elections/General Registrar, Arlington County, Virginia— This is a four-year term position appointed by the Electoral Board with a starting date of July 1, 2019 and an end date of June 30, 2023. The Arlington County Electoral Board is seeking a Director of Elections/General Registrar to provide professional and technical leadership to the Office of Elections and manage the planning, ov","Pay
New employees start work within the pay range specified in their announcement. Periodic merit increases — up to the range’s maximum — may be given to employees with satisfactory performance.
Merit System Ordinance
Employees in departments under the County Manager’s direction are in the Competitive Service and work under a Merit System Ordinance — a merit-based employee plan for appointment, promotion and separation.
Eligibility for Employment
Newly hired employees must prove their identity and U.S. work eligibility.
Background Check
Newly selected employees must go through a background check and may have to sign an authorization release for Arlington to obtain their background information, which may include:
- Criminal record
- Driving record
- Education
- Professional licenses
- Credit history
Probationary Period
As part of the examination procedure, newly appointed permanent employees and promoted employees serve a probationary period, as noted on their announcement.
Social Security and Workers’ Compensation
The Social Security Act’s Old-Age and Survivors and Disability Insurance Benefits section and the State Workers Compensation Act cover all employees.",,
marginal_full_text,,2019,Research Scientist,MIT Election Data and Science Lab,1252.0,"Research Scientist, MIT Election Data and Science Lab— MEDSL seeks a research scientist  to oversee the data science workflow of the lab’s election-related data collection, processing, and dissemination efforts.  MEDSL aims to improve the democratic experience for all U.S. voters by applying scientific principles to how elections are studied and administered. Responsibilities include assisting the","Working at MIT offers opportunities that just aren’t found anywhere else, including generous and unique benefits that help to ensure that MIT employees are healthy, supported, and enjoy a fulfilling work/life balance. Discover more about what it's like to work at MIT.
We welcome people from all walks of life to bring their talent, ideas, and experience to our community. We value diversity and strongly encourage applications from individuals from all identities and backgrounds – like yours. If you want to be part of our exceptional, multicultural, collaborative, and inclusive community, then take a look at this opportunity.
MIT provides pay ranges representing its good faith estimate of what the Institute reasonably expects to pay for a full time position at the time of posting (if you are applying for a part time salaried job, you will need to prorate the posted pay range). The pay offered to a selected candidate during hiring will be based on factors such as (but not limited to) the scope and responsibilities of the position, the candidate's work experience and education/training, internal peer equity, and applicable legal requirements. This pay range represents base pay only and does not include any other benefits or compensation.",,
junk_full_text,too_short: 260 chars,2017,GIS (Mapping) Specialist,Lee County Supervisor of Elections,260.0,"GIS (Mapping) Specialist, Fort Meyers, Florida — Lee County Supervisor of Elections is seeking a full-time Geographical Information Specialist to maintain our county precinct map.  Using MapInfo in conjunction with our voter registration (Voter Focus).  Successful applicant will help diagnosis system problems, correct or initiate corrective action through other technicians, consultants, vendors, t","Under Florida law, s. 668.6076, F.S., e-mail addresses are public records. If you do not want your e-mail address released in response to a public records request, do not send electronic mail to this entity. Instead, contact this office by phone or in writing.",,
junk_full_text,too_short: 308 chars,2022,Director (Republican),Fulton County Board of Elections,308.0,"Director (Republican), Fulton County, Ohio– To serve as Director of the Fulton County Board of Elections, in the administration of fair, honest and accurate elections. The Director works directly with the Deputy Director and is responsible for the preparation and conduct of all elections held throughout Fulton County: oversees all operations involved in the election process in accordance with Titl","This website is AudioEye enabled and is being optimized for accessibility. To open the AudioEye Toolbar, press ""shift + ="". Some assistive technologies may require the use of a passthrough function before this keystroke. For more information, activate the button labeled ""Explore your accessibility options"".",,
junk_full_text,too_short: 308 chars,2016,Elections Technician,Wayne County,308.0,"Elections Technician, Wayne County, North Carolina  — Installs hardware and software, manages system upgrades, and coordinates with county IT department. Implements upgrades and/or updates to the State Election Information Management Software (SEIMS) as provided by the State Board of Elections. Manages voting equipment to include inventory, preparation of voting equipment and systems for elections","This website is AudioEye enabled and is being optimized for accessibility. To open the AudioEye Toolbar, press ""shift + ="". Some assistive technologies may require the use of a passthrough function before this keystroke. For more information, activate the button labeled ""Explore your accessibility options"".",,
junk_full_text,too_short: 402 chars,2025,Election Administration Manager,Oregon Secretary of State’s Office,402.0,"Election Administration Manager, Oregon Secretary of State’s Office– In this role you will oversee all aspects of the Division’s work related to the technical administration of elections, including voter registration and election management and oversee all compliance-related aspects of the Division’s work on initiative, referendum, referral, and recall processes, candidate filings and qualificatio","That Trail's Gone Cold!
Page Content
Sorry, friend. We’ve lost the page you’re seeking.
Did you follow a link? Use a bookmark? Type in the Web address?
Links and bookmarks may be outdated, URLs get misspelled, or content has been moved or removed.
Get Back on Course
Try our site search at the top right.
Start over on the Home page.
Send us an email and we’ll try and point you in the right direction.",,
