row_index,text_used,job_title,employer,state,salary_low_end,salary_high_end,pay_basis,skill_categories_required,skill_categories_preferred,skill_categories_mentioned,election_security_explicit,degree_required,degree_field,min_years_experience,experience_can_substitute,certifications_required,certifications_preferred,certifications_substitutable,job_classification,classification_confidence,position_elected,full_time,remote_hybrid,registered_voters,text_confidence
24,full_text,Election Support Aide - On-Call,Olmsted County,Minnesota,19.0,30.0,hourly,ops|comms,,ops|comms|data,False,high_school,,0.5,True,,,,election_official,high,False,False,on_site,,high
25,stub,Program Coordinator,Dallas County,Texas,4806.0,5997.0,monthly,pm|data,budget|personnel|comms,budget|pm|personnel|data|comms,False,,,,,,,,not_election_official,high,,True,,,high
26,stub,Assistant Registrar of Voters,San Diego County,California,190000.0,210000.0,yearly,ops|vr|legal|it_cyber|pm|personnel|budget|comms|intergovt,,ops|vr|legal|it_cyber|pm|personnel|budget|comms|intergovt,False,,,,,,,,top_election_official,high,False,True,,,high
27,stub,Assistant Secretary of State - Elections Division,Mississippi Secretary of State's Office,Mississippi,,,,,,vr|legal|personnel|comms|intergovt|ops,False,,,,,,,,top_election_official,high,False,,,,high
28,full_text,Election Protection Hotline Specialist,Lawyer's Committee for Civil Rights Under Law,District of Columbia,35.9,35.9,hourly,comms|data,personnel,comms|data|personnel|it_cyber,False,bachelor,,,False,,,,not_election_official,high,False,False,on_site,,high
29,full_text,Senior Elections Manager,Salt Lake County,Utah,70503.0,105755.0,yearly,ops|personnel|data,,ops|personnel|data|pm,False,bachelor,"Public Administration, Business Administration, or other closely related field",4.0,True,,,,election_official,high,,True,,,high
30,full_text,Strategic Account Director,Civix Software Group,,,,,legal|comms,data,legal|comms|data,False,bachelor,"Business, Political Science, Public Administration",7.0,True,,,,not_election_official,high,False,,,,high
31,full_text,"Senior Policy Manager, Anti-Corruption and Accountability",Common Cause,,97850.0,113300.0,yearly,legal|comms|intergovt|pm,,legal|comms|data|intergovt|pm,False,,,,,,,,not_election_official,high,False,True,remote,,high
32,full_text,"Senior Policy Manager, Media and Technology",Common Cause,,97850.0,113300.0,yearly,legal|comms,,legal|comms|intergovt,False,,,,,,,,not_election_official,high,False,True,remote,,high
33,stub,"Senior Policy Analyst, Elections Project",Bipartisan Policy Center,,70000.0,95000.0,yearly,,,legal|comms|pm|data,False,,,,,,,,not_election_official,high,,,,,high
34,full_text,County Clerk - Elections & Recording Principal Manager,Lane County,Oregon,112091.2,153462.4,yearly,ops|vr|legal|data|personnel|budget,comms|intergovt,ops|vr|legal|data|personnel|budget|comms|intergovt,False,,,10.0,True,,,,top_election_official,high,False,True,on_site,,high
35,full_text,"Departmental Technician 7-E9 - Filings, Disclosure, and Compliance","State of Michigan, Department of State, Bureau of Elections",Michigan,46904.0,64438.4,yearly,ops|data,,ops|data|legal,False,high_school,,1.0,True,,,,election_official,high,False,True,hybrid,,high
36,full_text,Elections Education Supervisor,"City of Portland, Office of the City Auditor",Oregon,97505.28,126683.0,yearly,ops|legal|comms|budget|personnel,pm|data,ops|legal|comms|budget|personnel|pm|data|intergovt,False,high_school,,2.0,True,,,,election_official,high,False,True,hybrid,,high
37,full_text,Departmental Specialist 13 - Security & Standards Section - Emerging Topics Specialist,"State of Michigan, Department of State",Michigan,64604.8,96428.8,yearly,ops|intergovt,,ops|intergovt|personnel,True,bachelor,,4.0,,,,,top_election_official,high,False,True,hybrid,,high
38,full_text,Election Program Supervisor,Clark County Election Department,Nevada,30.38,44.84,hourly,ops|personnel|budget|comms,,ops|personnel|budget|comms|intergovt,False,associate,"Business, Communications, or a closely related field",2.0,True,Nevada Class C Driver's License,,,election_official,high,False,True,on_site,,high
39,full_text,Election Specialist,Franklin County (NC),North Carolina,38102.0,40007.0,yearly,ops|vr|legal|data|personnel|comms,,ops|vr|legal|data|personnel|comms,False,high_school,,,True,NC Elections Administrator certificate|Notary Public Certification,,,election_official,high,False,True,on_site,,high
40,stub,Elections Administrative Coordinator,Buncombe County Elections Services Department,North Carolina,58450.0,72977.0,yearly,,,ops|comms|pm|personnel,False,,,,,,,,election_official,high,False,,,,high
41,stub,Organizer,Common Cause,Minnesota,63860.0,80340.0,yearly,,,comms,False,,,,,,,,not_election_official,high,False,True,on_site,,high
42,stub,"Program Manager, Money in Politics",Common Cause,California,82400.0,97850.0,yearly,,,legal|comms|intergovt|pm|personnel,False,,,,,,,,not_election_official,high,False,True,on_site,,high
43,stub,"Senior Director, Legislative Affairs",Common Cause,,128750.0,144200.0,yearly,legal|comms|intergovt,,legal|comms|intergovt|pm,False,,,,,,,,not_election_official,high,False,True,hybrid,,high
44,stub,Regional Sales Representative II,Soch,,114000.0,121800.0,yearly,comms,,comms,True,,,5.0,,,,,not_election_official,high,False,True,,,high
45,stub,Regional Sales Representative III,Soch,,67000.0,72500.0,yearly,comms,,comms,True,,,1.0,,,,,not_election_official,high,False,True,,,high
46,stub,Sales & Marketing Specialist,Soch,,45200.0,51400.0,yearly,comms,,comms,True,,,3.0,,,,,not_election_official,high,False,,,,high
47,stub,Administrative Coordinator (Spanish Language Program),Dallas County,Texas,24.22,30.22,hourly,,,ops|budget|data|comms|pm,False,,,,,,,,not_election_official,high,,,,,high
48,full_text,Administrative Services Coordinator Level I,Seminole County Supervisor of Elections Office,Florida,45000.0,50000.0,yearly,budget|data|personnel|ops|legal,legal,budget|data|personnel|ops|legal|comms,False,associate,"Business Administration, Accounting, or related field",2.0,False,,,,election_official,high,False,True,on_site,,high
49,full_text,Candidate Services Coordinator,Seminole County Supervisor of Elections Office,Florida,36000.0,46000.0,yearly,ops|legal|data|budget,legal,budget|ops|legal|data,False,associate,"Business Administration, Accounting, or related field",2.0,True,,,,election_official,high,False,True,,,high
50,stub,Deputy Elections Administrator,Collin County,Texas,86701.0,,yearly,ops|personnel|budget,,ops|personnel|budget|vr|data,False,bachelor,,2.0,,,,,election_official,high,,,,,high
51,full_text,Elections Manager,Douglas County,Nebraska,6963.93,11143.93,monthly,ops|vr|legal|data|pm|personnel|budget|comms|intergovt|gis,,ops|vr|legal|it_cyber|data|pm|personnel|budget|comms|intergovt|gis,False,bachelor,"Public Administration, Business Administration, or a related field",4.0,True,,,,election_official,high,False,True,on_site,,high
52,stub,Elections Warehouse Manager,Dallas County,Texas,4666.0,7279.0,monthly,ops|personnel|budget,,ops|personnel|budget,False,,,,,,,,election_official,high,False,,,,high
53,stub,Information Technology Manager,Sarasota County,Florida,67912.0,115460.0,yearly,it_cyber|personnel,,it_cyber|personnel|ops|intergovt,False,,,,,,,,election_official,high,,,,,high
54,stub,Mail Ballot Elections Supervisor,Dallas County,Texas,4666.0,5822.0,monthly,ops|personnel|data|budget,,ops|personnel|data|budget|legal|comms|intergovt,False,,,,,,,,election_official,high,False,,,,high
55,full_text,Voter Registration Coordinator,Clallam County,Washington,25.37,30.91,hourly,vr|data|ops,comms,vr|data|ops|comms|legal|gis,False,,,,,,,,election_official,high,False,True,on_site,,high
56,full_text,Voter Services Clerk,Seminole County Supervisor of Elections Office,Florida,41600.0,45760.0,yearly,vr|data,legal|bilingual,vr|data|ops|comms|legal|bilingual,False,high_school,,1.0,,,,,election_official,high,False,True,on_site,,high
57,full_text,Departmental Manager 14 - Campaign Finance Section Manager,"State of Michigan, Department of State",Michigan,34.25,51.08,hourly,legal|personnel|budget|comms,,legal|personnel|budget|comms|data,False,bachelor,any major,4.0,True,,,,election_official,high,False,True,,,high
58,stub,Director of Elections,Iowa Secretary of State's Office,Iowa,67350.0,120036.0,yearly,ops|legal|personnel,,ops|legal|personnel|intergovt,True,,,,,,,,top_election_official,high,False,True,on_site,,high
59,full_text,"Elections Coordinator, Communications and Compliance",Union County,North Carolina,48460.06,72690.09,yearly,data|legal|comms|ops,legal,data|legal|comms|ops|vr|pm,False,associate,"Political Science, Business Administration, Accounting, Legal Studies, or related field",3.0,True,North Carolina Public Notary|North Carolina Driver's License,North Carolina Certified Elections Administrator (NCCEA),,election_official,high,False,True,on_site,,high
60,full_text,Elections Coordinator-Training and Education,Union County,North Carolina,48460.06,72690.09,yearly,ops|data|personnel|comms,,ops|vr|legal|data|personnel|comms,True,associate,"Political Science, Business Administration, Accounting, Legal Studies, or related field",3.0,True,North Carolina Public Notary|Valid North Carolina Driver's License,North Carolina Certified Elections Administrator (NCCEA),,election_official,high,False,True,on_site,,high
61,stub,Data Scientist Manager,"CIRCLE (Center for Information & Research on Civic Learning and Engagement at Tisch College, Tufts University)",,79600.0,119500.0,yearly,data,pm,data|pm,False,,,,,,,,not_election_official,high,False,True,,,high
62,full_text,Deputy of Elections,County of Yolo,California,111321.6,135304.0,yearly,ops|vr|legal|data|pm|personnel|budget,,ops|vr|legal|data|pm|personnel|budget|comms|intergovt,False,,,,,,,,election_official,high,False,True,on_site,,high
63,stub,"Policy Director & Counsel, Voting & Fair Representation",Common Cause,,108150.0,128750.0,yearly,legal,comms|data,legal|comms|data|intergovt,False,,,,,,,,not_election_official,high,False,True,hybrid,,high
64,stub,Senior Organizer,Common Cause,Colorado,72100.0,89610.0,yearly,,bilingual,comms|bilingual|intergovt,False,,,,,,,,not_election_official,high,False,True,hybrid,,high
65,full_text,Democracy Dollars Program Manager,City of Oakland Public Ethics Commission,California,149409.72,183462.0,yearly,pm|personnel|legal|comms,it_cyber|data,it_cyber|pm|personnel|legal|comms|data,False,master,any,,,,,,not_election_official,high,False,True,hybrid,,high
66,stub,Deputy Director,Geauga County Board of Elections,Ohio,,,,,,,False,,,,,,,,top_election_official,high,False,,,,high
67,full_text,Press Secretary,"State of Connecticut, Secretary of the State",Connecticut,75000.0,85000.0,yearly,comms,,comms,False,,,,,,,,not_election_official,high,False,True,hybrid,,high
68,stub,Regional Sales Director – Pacific West,Runbeck,,,,,,,,False,,,,,,,,not_election_official,high,,,,,high
69,stub,"Senior Director, Legislative Affairs",Common Cause,,128750.0,144200.0,yearly,,,legal|pm|comms|intergovt,False,,,,,,,,not_election_official,high,,True,hybrid,,high
70,full_text,Administrative Specialist III (Elections Specialist Lead),King County Elections,Washington,29.77,37.87,hourly,ops|personnel|data|comms,,ops|personnel|data|comms,False,,,,,,,,election_official,high,False,True,hybrid,1400000.0,high
71,stub,Precinct Manager,Board of Voter Registration and Elections,South Carolina,68140.0,89252.0,yearly,ops|personnel|comms,,ops|personnel|comms|intergovt,False,,,,,,,,election_official,high,,,,,high
72,full_text,Administrative Specialist II (Elections Specialist - Chinese),King County,Washington,27.03,34.4,hourly,vr|data|legal|comms|bilingual,,vr|data|legal|comms|bilingual|personnel|ops,False,,,,,,,,election_official,high,False,True,hybrid,1400000.0,high
73,stub,Elections Clerical Unit Supervisor,"Multnomah County, Department of Community Services",Oregon,70016.75,105025.85,yearly,ops|vr|personnel,,ops|vr|personnel,False,,,,,,,,election_official,high,False,True,on_site,,high
74,stub,Elections Manager,Kalamazoo County,Michigan,81744.0,95638.0,yearly,ops|legal|personnel,,ops|legal|personnel|intergovt,False,,,,,,,,election_official,high,False,,,,high
75,stub,Elections Operations Manager,Multnomah County,Oregon,91778.29,137666.25,yearly,ops|vr|legal|pm|personnel,,ops|vr|legal|data|pm|personnel|comms,False,,,,,,,,top_election_official,high,False,True,on_site,,high
76,stub,Military & Overseas Voting Program Administrator (Operations & Policy Analyst 2),Oregon Secretary of State's Office,Oregon,5593.0,8562.0,monthly,ops|legal,,ops|legal|it_cyber|intergovt,False,,,,,,,,election_official,high,,,,,high
77,stub,Operations Manager,Dallas County,Texas,6356.0,7934.0,monthly,ops|pm|personnel,,ops|vr|pm|personnel,False,,,,,,,,election_official,high,,True,,,high
78,stub,Research Scientist,MEDSL (MIT Electoral Data Science Lab),,,,,data,pm|personnel,data|pm|personnel|comms,False,,,,,,,,not_election_official,high,False,,,,high
79,full_text,Director of Elections & Registration,Cobb County Government,Georgia,121515.23,200500.12,yearly,ops|vr|legal|it_cyber|personnel|budget|comms|intergovt,,ops|vr|legal|it_cyber|data|pm|personnel|budget|comms|intergovt,True,bachelor,"Public Administration, Political Science, Operations Management, or related field",10.0,True,Georgia Election Official|Georgia Voter Registrar,Certified Elections Registration Administrator (CERA),,top_election_official,high,False,True,on_site,500000.0,high
80,stub,Regional Sales Director – Pacific West,Runbeck,,,,,,,,False,,,,,,,,not_election_official,high,,,,,high
81,full_text,Elections System Administrator,Arapahoe County,Colorado,64293.06,96439.98,yearly,ops|it_cyber|personnel|pm,bilingual|it_cyber,ops|it_cyber|legal|pm|personnel|data|comms|bilingual,True,bachelor,"public administration, Organizational Leadership or related field",3.0,True,,,,election_official,high,False,True,hybrid,,high
82,full_text,City Clerk,"City of Madison, Wisconsin",Wisconsin,120778.66,163050.09,yearly,ops|vr|legal|data|pm|personnel|budget|comms|intergovt,,ops|vr|legal|data|pm|personnel|budget|comms|intergovt,True,,,,,,,,top_election_official,high,False,True,on_site,,high
83,full_text,Elections Service Manager,Arapahoe County,Colorado,75424.96,120484.52,yearly,ops|legal|it_cyber|pm|personnel|budget,bilingual|ops,it_cyber|pm|budget|personnel|legal|ops|bilingual,True,bachelor,"public administration, organizational leadership, or related field",5.0,True,,,,election_official,high,False,True,hybrid,,high
84,stub,Administrative Specialist,Leon County Supervisor of Elections Office,Florida,,,,data|comms,personnel|budget|pm,pm|budget|personnel|ops|comms|data,False,,,,,,,,election_official,high,False,,,,high
85,stub,Constituent Services Officer,Maricopa County,Arizona,62000.0,103750.0,yearly,comms,personnel|intergovt,comms|intergovt|personnel,False,,,,,,,,election_official,high,,,,,high
86,stub,Digital Recording Lead,Maricopa County Recorder's Office,Arizona,20.5,33.0,hourly,,,data|comms|pm,False,,,,,,,,not_election_official,high,,,,,high
87,stub,Program Manager,Common Cause,Georgia,82400.0,97850.0,yearly,,,data|comms|pm|intergovt,False,,,,,,,,not_election_official,high,False,True,,,high
88,stub,UOCAVA Technician,Maricopa County Recorder's Office,Arizona,18.5,26.0,hourly,ops,personnel,ops|personnel,False,,,,,,,,election_official,high,False,,,2500000.0,high
89,full_text,Vice President of Election Services,Fort Orange Press,,,,,ops|legal|pm|personnel|budget|comms,it_cyber|data|intergovt,ops|legal|pm|personnel|budget|comms|it_cyber|data|intergovt,True,bachelor,,,True,,,,not_election_official,high,False,,,,high
90,full_text,Ballot Processing Supervisor,Boulder County Clerk and Recorder's Office,Colorado,51408.0,74124.0,yearly,ops|vr|personnel|data,,ops|vr|legal|personnel|data,False,,,,,,,,election_official,high,False,True,on_site,,high
91,stub,"Deputy Director, Elections Division",Minnesota Secretary of State – Office of the Secretary of State (OSS),Minnesota,37.6,54.16,hourly,ops|vr|personnel|budget|intergovt|legal,,ops|vr|personnel|budget|intergovt|legal|it_cyber|pm,True,,,,,,,,top_election_official,high,False,True,on_site,,high
92,stub,Risk & Compliance Manager,Illinois State Board of Elections,Illinois,7500.0,10000.0,monthly,it_cyber|legal,,it_cyber|legal,True,,,,,,,,not_election_official,high,,,,,high
93,full_text,Technology and Cybersecurity Project Manager,Boulder County Clerk and Recorder's Office,Colorado,101868.0,146724.0,yearly,it_cyber|pm|personnel,,it_cyber|pm|personnel|ops|vr,True,,,,,,,,election_official,high,False,True,on_site,,high
94,full_text,Campaign Finance Analyst,Michigan Department of State,Michigan,25.85,40.51,hourly,legal|data,,legal|data|comms,False,bachelor,,2.0,True,,,,election_official,high,False,True,,,high
95,stub,Voter Registration Compliance Officer,Maricopa County,Arizona,62000.0,82250.0,yearly,vr|legal,,vr|legal|personnel|comms,False,,,,,,,,election_official,high,,,,,high
96,stub,Voter Services Manager,"Douglas County, Colorado",Colorado,76990.0,115484.0,yearly,ops|vr|gis|personnel|legal|pm,comms,pm|gis|personnel|comms|legal|vr|ops,False,,,,,,,,election_official,high,False,,,,high
97,full_text,Voter Services Supervisor (Program Supervisor I),King County Elections,Washington,40.24,51.01,hourly,ops|vr|personnel|legal,,ops|vr|personnel|legal|comms|pm,True,,,,,,,,election_official,high,False,True,hybrid,1400000.0,high
98,full_text,Departmental Technician 7-E9 - Help Desk Agent,"State of Michigan, Department of State",Michigan,22.55,30.98,hourly,comms|ops,,comms|ops|legal|personnel,False,high_school,,1.0,True,,,,election_official,high,False,True,hybrid,,high
99,stub,Senior Campaigns Manager,Common Cause,,97850.0,113300.0,yearly,,,comms|pm,False,,,,,,,,not_election_official,high,,True,remote,,high
100,stub,Senior Organizer,Common Cause,Georgia,72100.0,89610.0,yearly,,,comms|personnel,False,,,,,,,,not_election_official,high,,True,on_site,,high
101,stub,Deputy Director of Elections,County of Surry,North Carolina,41508.0,69124.0,yearly,ops|vr|legal|it_cyber|personnel|comms,,ops|vr|legal|it_cyber|personnel|comms|intergovt,False,,,,,,,,election_official,high,False,True,,,high
102,stub,Elections & Voter Registration Director,Athens-Clarke County,Georgia,99902.0,119007.0,yearly,ops|vr|legal|personnel|budget|comms|intergovt,,ops|vr|legal|personnel|budget|comms|intergovt,True,,,,,,,,top_election_official,high,False,,,,high
103,full_text,Administrative Specialist III (Elections Specialist Lead),King County Elections,Washington,29.77,37.87,hourly,ops|data|personnel|comms,,ops|data|personnel|comms,False,,,,,,,,election_official,high,False,True,hybrid,1400000.0,high
104,full_text,Administrative Specialist II (Elections Specialist - Chinese),King County,Washington,27.03,34.4,hourly,vr|data|personnel|comms|bilingual,,vr|data|personnel|comms|bilingual|legal|ops,False,,,,,,,,election_official,high,False,True,hybrid,1400000.0,high
105,full_text,Assistant Registrar of Voters,County of Santa Clara,California,194184.52,249180.63,yearly,ops|vr|legal|it_cyber|personnel|budget|comms|intergovt,,ops|vr|legal|it_cyber|personnel|budget|comms|intergovt,True,bachelor,public administration or business administration or related field,3.0,False,,,,top_election_official,high,False,True,on_site,,high
106,stub,Automatic Voter Registration Policy Specialist,Oregon Secretary of State,Oregon,6437.0,9889.0,monthly,vr|legal|data,,vr|legal|data|comms|intergovt,False,,,,,,,,election_official,high,False,,,,high
107,stub,Clerk-Recorder/Registrar of Voters,"County of Nevada, California",California,188453.4,188453.4,yearly,ops|personnel|budget|intergovt,,ops|personnel|budget|comms|intergovt|legal,False,,,,,,,,top_election_official,high,True,,,,high
108,full_text,Elections Assistant,Clallam County,Washington,24.36,29.68,hourly,ops|vr|data|personnel,comms|it_cyber,ops|vr|legal|it_cyber|data|personnel|comms|intergovt,True,high_school,,,,Washington State Election Administrator (after 2 years),,,election_official,high,False,True,on_site,,high
109,stub,Elections Filing Manager,Arizona Secretary of State's Office,Arizona,,,,legal|ops|pm|personnel|data|it_cyber,,legal|ops|pm|personnel|data|it_cyber|intergovt|comms,False,,,,,,,,election_official,high,,True,hybrid,,high
110,full_text,Voter Registration Manager,Tarrant County,Texas,74431.76,81875.04,yearly,vr|gis|data|personnel|budget|legal,bilingual,vr|budget|gis|personnel|ops|legal|bilingual|data,False,high_school,,2.0,True,,,,election_official,high,False,True,on_site,,high
111,full_text,Deputy Registrar of Voters,Washoe County,Nevada,97406.4,126630.4,yearly,ops|vr|legal|personnel|budget|comms,pm|data,budget|comms|personnel|pm|legal|vr|ops|data,False,bachelor,"public administration, business administration or a closely related field",2.0,True,Valid driver's license|Registered voter in Nevada within Washoe County|U.S. citizenship,,,election_official,high,False,True,on_site,,high
112,full_text,Voter Registration and Absentee Manager,Charleston County Government,South Carolina,70000.0,82000.0,yearly,vr|ops|personnel|data,,vr|ops|personnel|data|pm|comms,False,bachelor,,5.0,True,SC State Election Commission Certification|National Certification through the Election Center,,,election_official,high,False,True,on_site,,high
113,stub,Elections Clerical Unit Supervisor,Multnomah County Elections Division,Oregon,70016.75,105025.85,yearly,ops|vr|personnel,,ops|vr|personnel,False,,,,,,,,election_official,high,False,True,on_site,,high
114,stub,Elections Operation Manager,"Multnomah County Department of Community Services, Elections Division",Oregon,91778.29,137666.25,yearly,ops|personnel|pm,,ops|personnel|pm,False,,,,,,,,election_official,high,False,True,,,high
115,stub,Elections Technology & Systems Manager,Dallas County,Texas,7578.0,9459.0,monthly,it_cyber|pm|data,,it_cyber|pm|data|ops|budget|personnel,True,,,,,,,,election_official,high,False,True,,,high
116,stub,"Legislative Director, Finance, Pensions & Intergovernmental Affairs (FPIGA)",NACo,,100000.0,110000.0,yearly,legal|intergovt,,legal|intergovt|comms,False,,,,,,,,not_election_official,high,False,,,,high
117,stub,Operations Manager,Dallas County,Texas,6356.0,7934.0,monthly,ops|pm|personnel|budget,,ops|pm|data|personnel|budget|legal,False,,,,,,,,election_official,high,False,,,,high
118,full_text,Registrar of Voters,San Diego County,California,183310.0,297523.0,yearly,ops|legal|personnel|budget|comms|intergovt,,intergovt|budget|comms|personnel|legal|ops,False,bachelor,,5.0,True,,,,top_election_official,high,False,True,,,high
119,full_text,Language Access and Outreach Coordinator (Chinese),King County Elections,Washington,38.38,48.65,hourly,comms|bilingual,ops|data,ops|comms|bilingual|data,False,,,,,,,,election_official,high,False,True,hybrid,1400000.0,high
120,stub,Community Engagement Coordinator,BVRE (Berkeley Voter Registration and Elections / or similar elections office in North Charleston),South Carolina,50440.0,66060.0,yearly,comms,ops|pm,comms|ops|pm,False,,,,,,,,not_election_official,high,,,,,high
121,stub,Election Administration Manager,Oregon Secretary of State's Office,Oregon,7430.0,12068.0,monthly,ops|vr|legal,,ops|vr|legal,False,,,,,,,,election_official,high,False,True,,,high
122,full_text,Elections Division Manager,Washington County (MN),Minnesota,87276.8,119246.4,yearly,ops|vr|legal|personnel|budget|comms|intergovt,it_cyber,it_cyber|intergovt|budget|comms|personnel|legal|vr|ops,True,bachelor,"political science, public administration, public policy, or related field",5.0,True,,,,top_election_official,high,False,True,on_site,,high
123,stub,Administrative Specialist,Leon County Supervisor of Elections Office,Florida,,,,data|comms,,budget|pm|personnel|ops|comms|data,False,,,,,,,,election_official,high,False,,,,high
124,stub,Information Systems Director/Chief Information Officer,Oregon Secretary of State's Office,Oregon,13167.0,21433.0,monthly,it_cyber|pm,,it_cyber|pm|ops|data,False,,,,,,,,top_election_official,low,False,,,,medium
